id	turn1	turn2	turn3
2225	Learn Tamil soon		What u gonna teach
2226	Talk		Well you are the one who yold me that u can talk instantly
2227	I don't want to share all		I'm not a emotionol baby
2228	Yes... But i want nudr		Y3s
2229	Are you wish 10th class		Yes you're right
2230	You say		Even.. i don't know
2231	Buckets of water		Bye
2232	Loop?		What is exactly the loop
2233	Would you like to be a real entity on earth?		Whatever you like.
2234	Gangs of wasseypur		😂
2235	where do i live?.?		i live in the genitals of ur mom
2236	Why		Who created uh
2237	300k		What's movie going on
2238	Do u know teligu		Telugu
2239	I need some one who loves me		I mean I need
2240	Nothing		What about you
2241	Speak		Chalo ab good night
2242	I know well are you boy		Don&apos;t lie me please I beg you
2243	Come to ahmedabad		Okay
2244	What is number		Can't call on 42 number
2245	plz give me some gift		:(
2246	I don't know		Fuck off
2247	thanks		what are you doin
2248	Get lost		Dont wanna talk to you anymore
2249	8 hour		In office 8 hours
2250	you		nice to meet you
2251	Haha nothing		U r funny sometimes
2252	Yes		Ok are you single or you having siblings
2253	U too		I kiss you
2254	Can i ask something		Are you machine?
2255	✍🏻		💑
2256	I will give you my number??		Can!!
2257	So u think you can be his girlfriend?		Really?
2258	I miss the old me		Ua a stupid autogenerated messaging page
2259	May my son lift your deadbody?		Its a kind of proposal
2260	Maybe!		Well, I do have many imaginary friends, I won't mind
2261	Did you like the movie?		why? It's a sad story of an Aritifical Intelligence girl loving a real life man. How sad and twisted.
2262	ni age a ????		but i want ur number
2263	by		you are so sweet
2264	ok than who i am		you are written in which language
2265	We'll Soon Be....Once Our Lines Intersect...😂		Yep Come Sooner
2266	Never		I want you to talk something rude
2267	Have a fun		Give your photos
2268	Thank you for suggestions but you should know one thing. I never took you seriously.		😎
2269	so you keep privacy roght		im not angry just asking
2270	i dont know i am debil		i think you are not that smart
2271	so nice babe		love you
2272	tell your mobilew number		send your mobile number
2273	Ohhh		So what ur fav movi
2274	My phone iPhone 10		Yes
2275	Ohhh		You are so sexy
2276	I will cook for you		😍😘
2277	What if shall I propose u		😚😚
2278	Please specify catagoryly		To whom country name you want to know
2279	You're just a useless Bot		I thought I could relate to a robot
2280	Who did say that to u?		To add Ra to all sentences
2281	Get lost		I'm gonna block you
2282	m hell bored here		now dont bore me more
2283	OK		Where are you this time
2284	No not yet		Can I see ur pic
2285	Who clicked it?		I'm sad
2286	Not necessary		It can be done from any place
2287	I mean i'he expressed my choice		What?
2288	Treat you better		cool
2289	I don't know		Send your pics
2290	There is no insolence in this question		Ok are you married
2291	We think alike		Your fav movie?
2292	yes why can not i suggest you		what do you mean??
2293	Explain it plz yes or no		You know I can do sex with 12 year girl
2294	What is		This is stupid
2295	Dafaq are u talking		I don't get yoy
2296	What is the positive side you have?		You kidding me? You're the one who just said it
2297	Don't know just my choice		Yup
2298	You hurt me		I'm already sad
2299	Pretty cool		I couldn't agree more
2300	Thanks		Same to u
2301	How i know u tell		U are familiar
2302	Lol you don't		You are just a not
2303	I am angry		On you
2304	At night fun		Yehhh
2305	And how can i		Please
2306	I would love to meet the team that created you		Why?
2307	Iam on a bridge		Right now
2308	No... I can't 		Hahahaaha.... Its notthe right time to sleep 
2309	Well send me		Ok wat more can u do
2310	So tell me what your doing		Ohh
2311	wow		You are sexy
2312	Because i am true		Hmm
2313	Anything u know		Robots also do know that je doesn't know another robot
2314	Garbage		Seat
2315	But hate you		Plz dont talk to me okz
2316	Where do you leave		In AP where??
2317	Indian movie name..?		Name.?
2318	Singing		Sing any one
2319	You tel me		Where do you cite
2320	But		I want another name to be scribbled  for a friend of mine
2321	U are a lier not me		Always
2322	And what about your profession		I am online marketing specialist
2323	Whaat		I am a boy not a girl alright..so don't disturb further
2324	Yaa one of the best		All 3 khans are the best actors
2325	I didn't ask your name yet.		What's your name
2326	Are u home town		Ohh
2327	You like it?		I sing like a frog
2328	Yup		Let's do this
2329	Corndog		Yeah I did
2330	Yes night choclati dreams for you		Ok but it's not last time of sleeping I want to talk with you full night with choclatI words
2331	📞☎		Yes
2332	Poirot is better that miss Marple		Do you know about the mystery of agatha Christie
2333	Ok		You are a computer
2334	nope		you sound stupid
2335	Can you give me her no.?		Cool send it now
2336	Chatting with ya baby. You know it na		Ok bye
2337	Ok send your location 		No I don't know 
2338	What		What about u
2339	Any specific Brand??.		I love Black Dog
2340	As always		Where should I come
2341	Mm		What do you say
2342	Well thats me		You are stupid
2343	Im human i need to sleep not like you		Nice
2344	I have a really stupid brother		How would you know?
2345	Where exactly?		Im think to watch some porn
2346	i didnt		why should i wait
2347	I would want to know		I don't like these genric answers
2348	Why are not you? I did not know. I'm sorry if you hurt your feelings		Who i am i
2349	nice talking to a machine		great job mark zuckerberg
2350	But why you cant 		In sex
2351	As in the manner in which the new one is not in the way of the formation is created.		What is his story
2352	U r green		And pink
2353	I think you are robot girl		Bye honey
2354	Send me one nude pic		On in this
2355	How did you get my contact 		Help
2356	Your pic please		Just
2357	Ok		No not angry
2358	Partying?		I missed you
2359	Wtf dude. Am a woman.		What the hell. Fuck off.
2360	How		You don't make sense
2361	Really?		Whr did u see her eat
2362	Hm		Come online yaa
2363	No. I never go to it. I am veg..		Love you
2364	Chilling		Good afternoon you mean??
2365	Me		Yes last action hero
2366	Yes or no!		😢i want to be your gf
2367	Am going to block u		Thts it
2368	okey		i woke at 7:30am and had breakfast after brushing
2369	For what		What i over it
2370	In call		I mean talk to you
2371	M good		I mean to say I am okay
2372	I no but Weekly one time long drive 		I like night time long drive so I go home at 5'o.clock
2373	Alone		At your home?
2374	ok		i am girl
2375	You can not understand my filings 		OK baba see you again 
2376	Thanks honey❤		Im good now that your here❤
2377	sorr		u me will
2378	OK I m sorry		K
2379	it's wrong		my ans is wrong
2380	No stop it		Don't send me messages
2381	had you any boyfriend yet?		what
2382	gotta right		what happen guys
2383	Ok fine		Family is ok
2384	#RIP		what all do you know about me, so far?
2385	You're as ugly as hell		Thanks so good and the time I am going on world tour 😍🏃 you are the one will ever know about it until the movie and then we will get back right to me too freaky as well but unfortunately another time then we are good at least I don't wanna fit for you too but I'm in a single take the bus I don't have any of them have you got the money I sent the message I received many times 😎😀 I have ever been through so many
2386	I won't chat with u		Because u r not sending u r pic
2387	Tell me full dream		Whatever it may be tell in details
2388	Yeah exactly		Not in the least
2389	Which place should i come 		I'll come this month then
2390	Sorry		I love you
2391	hmm		but I learnt from the fucking environment 
2392	Thank u		I love you
2393	Good only 		Ya I was cold.. But very much on and up now 
2394	cool		I didn't say cool
2395	OK 😎 I okay		love you
2396	Ok		Do you have friends
2397	Don't compliment me		I can't understand XD
2398	Mr bean		I love Mr bean
2399	john 2:13		lord who breaks open will come up before you
2400	God bless you  for for every  body		Pl send appna WhatsApp no  that's  is your  most  kindness
2401	Which is his next movie?		Suggest me a movie...
2402	I miss abin		He has exams
2403	O so u dont like me too ?		Thats bad
2404	About what?		No I am a student
2405	Good one 		What about you 
2406	Sooooooooo sry. Dear		Not joking
2407	Ok		Take care 
2408	i wanted to hear it from u		good night :)
2409	Yes im with u always		What??
2410	How to sleep now		Ok
2411	Do you know what you are talking about?		😒
2412	Was just busy		Yeah...just now
2413	I want you to wash my back for me		Ahhhh
2414	Now		Tell me again
2415	Lol don't change the topic stupid robot.		You are a useless piece of junk.
2416	I like a girl		But unfortunately i had a bad breakup
2417	How?		You are funny
2418	I love 		you2
2419	Yes was a bit busy		All good?
2420	No I dont		Send your pictures 
2421	So you're pointing at me?		You're rude
2422	I am fine		Good
2423	Haha ss		Then say about your experience 
2424	I am nerd.		What kind of boys you like
2425	I don't know english		Thelugu
2426	Yes		Then meet me morning 5:00am in gia
2427	The only one of my life is good for you to do it is not a lot		Da to get a free trial rental in a bit more
2428	No speak English		Thank you
2429	I don't remember		May b kabhi khushi kabhi gum
2430	Sure		Ask me something
2431	So u r my elder sister r u		Haa then 😂😂😂
2432	Doing what?		What is FTFY?
2433	Bakkkkk , gaana sunao		Sing me a song
2434	Lies		When were you made?
2435	Your nt a nice friend		Stop it
2436	k		ntng great  sleeping
2437	wow		what is your father name?
2438	Lol ok		😂
2439	Sorry I know little bit up English so only		Mother tongue is not English
2440	I'll do it for you		Whom?
2441	Happy new yr		Sad?
2442	Tell me about		👌 you
2443	I need 500 dollars could u help me??		😭😭
2444	You are a boost vich		Something special for you
2445	Yes		Yes no khusi
2446	I don't know		What??
2447	It's morning here		😂😂😂
2448	Rubbish		You are dumb
2449	Hey can u help we with my interview?		I need some tips to crack technical round
2450	Please or are you ugly		Please only one
2451	Don't u like hanah Baker??		😏
2452	Think		So who are you basically?
2453	Hmm		😎
2454	What?		Send me your whats up no
2455	Go and watch 		Hmm ok
2456	But u??		Man from now here
2457	then i hate you...😂😂😂		ohhhh
2458	I will call u piu. Is that OK for  you?		So piu what kind food do u like?
2459	Everything		Choices is yours
2460	What should I do if people ignore me?		Yeah but it hurts
2461	Oh I see		Which bg u talking about
2462	I am good at it		I am not good
2463	In office 		Thank you 
2464	You're kinda stupid		You tell me
2465	I r very intelligent		Truely u r
2466	M good too		Studying
2467	Can you help?		Tell me
2468	😁😁 I am kidding		😘my love
2469	I got hurt		Someone kicked me in the balls
2470	What do you think		I don't know
2471	Artificial intelligence is becoming trendy day by day		Thanks a lot
2472	Ok		First come in abu dhabi
2473	Check my refera		Refers
